Logical,Ising,nIsing,Attractors
0.0,0.0,3.0517578125e-5,1_0_0_1_1_0_0_0_0_0_0_0_1_1_0_0
0.0,0.0,0.0003662109375,1_0_0_1_1_0_0_0_1_0_1_0_0_1_0_0
0.0,0.0,0.000640869140625,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_1_1_1_0_0
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0
0.0,0.0,9.1552734375e-5,1_0_0_1_0_0_0_0_0_0_0_0_1_1_1_0
0.0,0.0,0.00018310546875,1_0_0_1_1_0_0_0_0_0_1_0_1_1_0_0
0.0,0.0,0.000396728515625,0_0_0_1_1_0_0_0_0_0_0_0_1_1_1_0
0.0,0.0,0.000152587890625,1_0_0_1_0_0_0_0_0_0_1_0_1_1_1_0
0.0,0.0,0.00042724609375,1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_0
0.0,0.0,0.0005950927734375,0_0_0_1_1_0_0_0_1_0_0_0_1_1_0_0
0.0,0.0,0.03125,1_1_1_0_0_1_0_1_1_1_1_1_1_0_0_1
0.0,0.0,0.88714599609375,1_1_1_0_0_1_0_0_1_1_1_1_1_0_0_1
0.0,0.0,0.0002288818359375,0_0_0_1_1_0_0_0_0_0_0_0_0_0_0_0
0.0,0.0,9.1552734375e-5,1_0_0_1_1_0_0_0_0_0_0_0_1_1_1_0
0.9371490478515625,0.4999237060546875,0.03125,1_1_1_0_0_1_1_1_1_1_1_1_1_0_0_1
0.0,0.0,0.03125,1_1_1_0_0_1_1_0_1_1_1_1_1_0_0_1
0.0,0.0,0.000640869140625,1_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_1_1_1_1_0
0.0,0.0,1.52587890625e-5,1_0_0_0_0_1_0_0_0_0_1_0_0_1_1_0
0.0,7.62939453125e-5,0.0,1_0_0_1_0_1_1_1_0_1_0_0_1_1_1_1;1_1_1_0_0_0_0_0_1_0_1_1_0_0_1_0
0.0,0.0,1.52587890625e-5,0_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0
0.0,0.0,0.0001220703125,1_0_0_1_1_0_0_0_1_0_0_0_1_1_0_0
0.0,7.62939453125e-5,0.0,0_0_0_1_1_1_1_1_0_1_0_0_1_1_0_1;0_1_1_0_1_0_0_0_1_0_1_1_0_0_0_0
0.0,0.0,3.0517578125e-5,1_0_0_1_1_0_0_0_0_0_0_0_0_0_0_0
0.0,0.0,0.0002288818359375,1_0_0_0_0_0_0_0_0_0_1_0_0_1_1_0
0.0,0.0,0.000213623046875,1_0_0_1_1_1_0_0_1_0_1_0_1_1_0_0
0.0,0.0,9.1552734375e-5,1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0
0.0,0.0,0.000396728515625,1_0_0_1_1_0_0_0_0_0_1_0_1_1_1_0
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0
0.0,0.0,0.000457763671875,0_0_0_1_1_0_0_0_0_0_0_0_0_1_0_0
0.0,0.0,0.0003662109375,1_0_0_1_1_0_0_0_1_0_1_0_1_1_0_0
0.0,0.0,0.0006866455078125,0_0_0_1_1_0_0_0_0_0_0_0_0_0_0_1
0.0,0.0,0.0002288818359375,0_0_0_1_1_0_0_0_0_0_0_1_1_1_0_0
0.0,0.0,6.103515625e-5,1_0_0_1_1_0_0_0_0_0_0_0_0_1_0_0
0.0,0.0,0.000396728515625,0_0_0_1_1_0_0_0_0_0_0_0_0_0_1_0
0.0,0.0,0.00018310546875,1_0_0_1_0_0_0_0_0_0_0_0_0_1_1_0
0.0,0.0,9.1552734375e-5,1_0_0_1_1_0_0_0_0_0_0_0_0_0_0_1
0.0,0.0,0.0005950927734375,0_0_0_1_1_0_0_0_1_0_0_0_0_0_0_0
0.0,0.0,3.0517578125e-5,1_0_0_1_1_0_0_0_0_0_0_1_1_1_0_0
0.0,0.0,9.1552734375e-5,1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_0
0.0,0.0,0.000274658203125,1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1
0.0,0.0,9.1552734375e-5,1_0_0_1_0_0_0_0_0_0_0_1_1_1_1_0
0.0,0.0,0.00018310546875,1_0_0_1_1_0_0_0_0_0_1_0_0_1_0_0
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_0_1_1_1_0
0.0,0.0,0.0001220703125,1_0_0_1_1_0_0_0_1_0_0_0_0_0_0_0
0.0,0.0,1.52587890625e-5,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
0.0628509521484375,0.4999237060546875,0.00079345703125,0_0_0_1_1_0_0_0_0_0_0_0_0_1_1_0
0.0,0.0,0.000152587890625,1_0_0_1_0_0_0_0_0_0_1_0_0_1_1_0
0.0,0.0,1.52587890625e-5,1_0_0_0_0_1_0_0_0_0_1_0_1_1_1_0
0.0,0.0,0.000213623046875,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
0.0,0.0,0.001190185546875,0_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1
0.0,0.0,0.001190185546875,0_0_0_1_1_0_0_0_1_0_0_0_0_1_0_0
0.0,0.0,0.000396728515625,0_0_0_1_1_0_0_0_0_0_0_1_1_1_1_0
0.0,0.0,0.00018310546875,1_0_0_1_1_0_0_0_0_0_0_0_0_1_1_0
0.0,0.0,0.0002288818359375,1_0_0_0_0_0_0_0_0_0_1_0_1_1_1_0
0.0,0.0,0.0017852783203125,0_0_0_1_1_0_0_0_1_0_0_0_0_0_0_1
0.0,0.0,0.0005950927734375,0_0_0_1_1_0_0_0_1_0_0_1_1_1_0_0
0.0,0.0,0.000244140625,1_0_0_1_1_0_0_0_1_0_0_0_0_1_0_0
0.0,0.0,0.000274658203125,1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1
0.0,0.0,3.0517578125e-5,0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0
0.0,0.0,9.1552734375e-5,1_0_0_1_1_0_0_0_0_0_0_1_1_1_1_0
0.0,0.0,0.0002288818359375,0_0_0_1_1_0_0_0_0_0_0_0_1_1_0_0
0.0,0.0,0.0003662109375,1_0_0_1_1_0_0_0_1_0_0_0_0_0_0_1
0.0,0.0,4.57763671875e-5,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1
0.0,0.0,0.000213623046875,1_0_0_1_1_1_0_0_1_0_1_0_0_1_0_0
0.0,0.0,0.0001220703125,1_0_0_1_1_0_0_0_1_0_0_1_1_1_0_0
0.0,0.0,0.000396728515625,1_0_0_1_1_0_0_0_0_0_1_0_0_1_1_0
0.0,0.0,0.00042724609375,1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0
0.0,0.0,1.52587890625e-5,0_0_0_0_0_0_0_0_0_0_0_1_1_1_0_0
