init,nPert,hamming_mean,hamming_sd,returned_mean,returned_df
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,1,0.0,0.0,1.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,1,0.0,0.0,1.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,1,3.6666666666666665,5.185449728701349,0.6666666666666666,0.47140452079103173
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,1,5.5,5.5,0.5,0.5
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,1,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,1,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,1,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,1,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,2,0.0,0.0,1.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2,0.0,0.0,1.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,2,2.0,3.4641016151377544,0.75,0.4330127018922193
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,2,2.6666666666666665,3.771236166328254,0.6666666666666666,0.47140452079103173
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,2,9.9,0.29999999999999993,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,2,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,2,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,2,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,3,0.0,0.0,1.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,3,0.05314009661835749,0.7627038697511138,0.9951690821256038,0.06933671543191944
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,3,8.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,3,8.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,3,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,3,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,3,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,3,11.3,2.1000000000000005,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,4,0.0889487870619946,0.985152156249043,0.9919137466307277,0.08955928693173137
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,4,10.0,1.4142135623730951,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,4,0.1180722891566265,1.081291572451111,0.9879518072289156,0.1091010257606918
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,4,11.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,4,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,4,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,4,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,4,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,5,0.20224719101123595,1.791238196325452,0.9865168539325843,0.11533148243016933
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,5,10.25,1.299038105676658,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,5,0.2857142857142857,2.198594833520379,0.9825072886297376,0.13109811752721348
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,5,7.3,4.517742799230607,0.25,0.4330127018922193
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,5,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,5,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,5,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,5,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,6,0.9418604651162791,3.687464574512135,0.9341085271317829,0.24809229466364746
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,6,0.4524271844660194,2.614591046757653,0.9687378640776699,0.17402532798389964
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,6,7.6923076923076925,3.5384615384615388,0.15384615384615385,0.36080121229410994
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,6,9.8,1.4696938456699067,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,6,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,6,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,6,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,6,7.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,7,1.4726436781609196,4.5763069133296534,0.8988505747126436,0.30152648150932604
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,7,8.642857142857142,3.3081531934026893,0.10714285714285714,0.30929478706587105
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,7,1.8793650793650793,5.260941998158399,0.8790476190476191,0.32607192840588267
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,7,8.555555555555555,2.499382639822665,0.05555555555555555,0.22906142364542562
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,7,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,7,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,7,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,7,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,8,2.1774193548387095,5.811517296768784,0.8709677419354839,0.3352356401746216
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,8,2.2005464480874317,5.875735017551121,0.8715846994535519,0.3345516568962311
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,8,9.266666666666667,2.8394052585395815,0.06666666666666667,0.24944382578492946
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,8,9.258333333333333,1.474764576315676,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,8,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,8,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,8,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,8,16.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,9,3.5671641791044775,7.162937807057359,0.7935323383084577,0.40477001663558193
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,9,3.798882681564246,7.222582438132634,0.7701117318435754,0.42076080178703007
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,9,9.894736842105264,1.44712916682816,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,9,9.588235294117647,1.4974025954538652,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,9,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,9,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,9,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,9,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,10,5.671614583333334,8.326521788925676,0.6690104166666667,0.47056931376595273
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,10,8.580645161290322,3.1497485158023593,0.0967741935483871,0.29565004483586066
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,10,5.980662983425415,8.583818877503122,0.6629834254143646,0.47269059969519206
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,10,9.842105263157896,2.6008734948643872,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,10,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,10,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,10,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,10,7.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,11,5.5017543859649125,8.34199280987009,0.6837092731829574,0.4650278517966314
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,11,6.580736543909349,8.74601471501049,0.623229461756374,0.4845766190761108
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,11,8.91304347826087,1.3803919883815254,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,11,9.857142857142858,1.4568627181693674,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,11,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,11,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,11,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,11,7.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,12,7.6873015873015875,9.004120022226136,0.562962962962963,0.4960198234898723
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,12,7.944505494505495,9.067645509454735,0.551923076923077,0.497296686177216
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,12,9.25925925925926,3.4597430068612587,0.07407407407407407,0.2618914004394621
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,12,8.37037037037037,3.743123553517819,0.14814814814814814,0.355246779504646
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,12,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,12,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,12,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,12,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,13,9.524590163934427,9.138772066677188,0.46174863387978143,0.4985346858443625
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,13,9.037075718015666,9.290534435158854,0.5036553524804177,0.4999866382197067
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,13,10.076923076923077,1.3846153846153846,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,13,10.380952380952381,2.3799998094475807,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,13,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,13,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,13,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,13,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,14,12.558904109589042,8.748069620590332,0.3150684931506849,0.46454314952912834
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,14,11.706632653061224,9.018866669815743,0.3596938775510204,0.47991060834631744
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,14,9.2,1.469693845669907,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,14,9.071428571428571,1.4374722712498649,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,14,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,14,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,14,16.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,14,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,15,12.356010928961748,8.701754074784152,0.3109289617486339,0.46287378678701396
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,15,11.978436657681941,8.810803753635156,0.331266846361186,0.47066880379211457
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,15,10.576923076923077,2.8034741760218336,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,15,9.848484848484848,2.7316463247847125,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,15,18.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,15,10.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,15,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,15,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,16,13.420485175202156,8.33212280181654,0.2641509433962264,0.4408800545489782
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,16,13.136,8.476015416062747,0.28,0.4489988864128726
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,16,9.923076923076923,2.3357271462598423,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,16,9.375,3.0931712421612443,0.041666666666666664,0.19982631347136334
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,16,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,16,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,16,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,16,7.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,17,18.999748110831234,0.015869017632241803,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,17,19.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,17,9.5,1.5,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,17,19.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,17,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,17,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,17,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,17,7.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,18,19.0,0.0,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,18,19.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,18,16.8,4.4,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,18,14.5,4.6097722286464435,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,18,18.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,18,18.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,18,12.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,18,12.0,0.0,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,19,19.0,0.0,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,19,19.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,19,19.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,19,19.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,19,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,19,9.0,0.0,0.0,0.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,19,7.0,0.0,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,19,7.0,0.0,0.0,0.0
